name,calories,fat,carb,fiber,protein,sodium
Cool Lime Starbucks Refreshers™ Beverage,45.0,0.0,11.0,0.0,0.0,10.0
Ombré Pink Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Pink Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Strawberry Acai Starbucks Refreshers™ Beverage,80.0,0.0,18.0,1.0,0.0,10.0
Very Berry Hibiscus Starbucks Refreshers™ Beverage,60.0,0.0,14.0,1.0,0.0,10.0
Violet Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Evolution Fresh™ Cold-Pressed Apple Berry Juice,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Evolution Fresh™ Defense Up,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Evolution Fresh™ Organic Ginger Limeade,110.0,0.0,28.0,0.0,0.0,5.0
Iced Coffee,0.0,0.0,0.0,0.0,0.0,0.0
Iced Coffee with Milk,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Iced Espresso Classics - Vanilla Latte,130.0,2.5,21.0,0.0,5.0,65.0
Iced Espresso Classics - Caffe Mocha,140.0,2.5,23.0,0.0,5.0,90.0
Iced Espresso Classics - Caramel Macchiato,130.0,2.5,21.0,0.0,5.0,65.0
Starbucks® Caramel Iced Coffee,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Iced Coffee + Milk,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Low Calorie Iced Coffee + Milk,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Vanilla Iced Coffee,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Shaken Sweet Tea,80.0,0.0,19.0,0.0,0.0,10.0
Tazo® Bottled Berry Blossom White,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Black Mango,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled Black with Lemon,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Brambleberry,140.0,0.0,35.0,0.0,0.0,15.0
Tazo® Bottled Giant Peach,150.0,0.0,37.0,0.0,0.0,15.0
Tazo® Bottled Iced Passion,70.0,0.0,17.0,0.0,0.0,10.0
Tazo® Bottled Lemon Ginger,120.0,0.0,31.0,0.0,0.0,10.0
Tazo® Bottled Organic Black Lemonade,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Organic Iced Black Tea,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Organic Iced Green Tea,120.0,0.0,31.0,0.0,0.0,10.0
Tazo® Bottled Plum Pomegranate,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Tazoberry,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled White Cranberry,140.0,0.0,35.0,0.0,0.0,10.0
Teavana® Shaken Iced Black Tea,30.0,0.0,8.0,0.0,0.0,5.0
Teavana® Shaken Iced Black Tea Lemonade,70.0,0.0,17.0,0.0,0.0,0.0
Teavana® Shaken Iced Green Tea,30.0,0.0,8.0,0.0,0.0,5.0
Teavana® Shaken Iced Green Tea Lemonade,70.0,0.0,17.0,0.0,0.0,5.0
Teavana® Shaken Iced Passion Tango™ Tea,30.0,0.0,8.0,0.0,0.0,5.0
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90.0,0.0,24.0,0.0,0.0,0.0
Teavana® Shaken Iced Peach Green Tea,60.0,0.0,15.0,0.0,0.0,0.0
Iced Espresso Classics - Vanilla Latte,130.0,2.5,21.0,0.0,5.0,65.0
Iced Espresso Classics - Caffe Mocha,140.0,2.5,23.0,0.0,5.0,90.0
Iced Espresso Classics - Caramel Macchiato,130.0,2.5,21.0,0.0,5.0,65.0
Iced Espresso Classics - Skinny Caramel Macchiato,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Iced Espresso Classics - Skinny Vanilla Latte,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Energy Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Energy Mexican Mocha,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Energy Mocha Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Energy Vanilla Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Energy White Chocolate Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Espresso Cubano,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Espresso Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Espresso Salted Caramel Cream,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Light Espresso Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Doubleshot® Protein Caramel,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks Refreshers™ Raspberry Pomegranate,90.0,0.0,27.0,0.0,0.0,0.0
Starbucks Refreshers™ Strawberry Lemonade,90.0,0.0,27.0,0.0,0.0,0.0
Starbucks® Bottled Caramel Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Coffee Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
"Starbucks® Bottled Cold Brew Black, Unsweetened",135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Cold Brew Cocoa and Honey with Cream,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Mocha Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled S'mores Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Vanilla Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Bottled Vanilla Light Frappuccino® Coffee Drink,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Caramel Iced Coffee,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Doubleshot Protein Dark Chocolate,210.0,2.5,33.0,2.0,20.0,115.0
Starbucks® Doubleshot Protein Vanilla,200.0,2.5,34.0,2.0,20.0,120.0
Starbucks® Iced Coffee + Milk,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Iced Coffee Caramel,60.0,0.0,13.0,0.0,1.0,0.0
Starbucks® Iced Coffee Light Sweetened,50.0,0.0,11.0,0.0,1.0,0.0
Starbucks® Iced Coffee Unsweetened,10.0,0.0,2.0,0.0,1.0,0.0
Starbucks® Low Calorie Iced Coffee + Milk,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Refreshers™ - Black Cherry Limeade with Coconut Water,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Starbucks® Vanilla Iced Coffee,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Tazo® Bottled Berry Blossom White,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Black Mango,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled Black with Lemon,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Brambleberry,140.0,0.0,35.0,0.0,0.0,15.0
Tazo® Bottled Giant Peach,150.0,0.0,37.0,0.0,0.0,15.0
Tazo® Bottled Iced Passion,70.0,0.0,17.0,0.0,0.0,10.0
Tazo® Bottled Lemon Ginger,120.0,0.0,31.0,0.0,0.0,10.0
Tazo® Bottled Organic Black Lemonade,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Organic Iced Black Tea,60.0,0.0,15.0,0.0,0.0,10.0
Tazo® Bottled Organic Iced Green Tea,120.0,0.0,31.0,0.0,0.0,10.0
Tazo® Bottled Plum Pomegranate,140.0,0.0,35.0,0.0,0.0,10.0
Tazo® Bottled Tazoberry,150.0,0.0,38.0,0.0,0.0,15.0
Tazo® Bottled White Cranberry,140.0,0.0,35.0,0.0,0.0,10.0
Teavana® Mango Black Tea,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Teavana® Passion Tango® Herbal Tea,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Teavana® Peach Green Tea,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
White Chocolate Mocha Bottled Frappuccino,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Blonde Roast,5.0,0.0,0.0,0.0,1.0,10.0
Caffè Misto,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Clover® Brewed Coffee,10.0,0.0,0.0,0.0,1.0,10.0
Coffee Traveler,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Decaf Pike Place® Roast,5.0,0.0,0.0,0.0,1.0,10.0
Featured Dark Roast,5.0,0.0,0.0,0.0,1.0,10.0
Iced Coffee,5.0,0.0,0.0,0.0,0.0,5.0
Iced Coffee with Milk,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Nariño 70 Cold Brew,5.0,0.0,0.0,0.0,0.0,15.0
Nariño 70 Cold Brew with Milk,0.0,0.0,0.0,0.0,0.0,0.0
Nitro Cold Brew,5.0,0.0,0.0,0.0,0.0,10.0
Nitro Cold Brew with Sweet Cream,70.0,5.0,5.0,0.0,1.0,20.0
Pike Place® Roast,5.0,0.0,0.0,0.0,1.0,10.0
Toasted Coconut Cold Brew,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Vanilla Sweet Cream Cold Brew,110.0,6.0,14.0,0.0,1.0,25.0
Hot Chocolate,320.0,9.0,47.0,4.0,14.0,160.0
Starbucks® Signature Hot Chocolate,430.0,26.0,45.0,5.0,12.0,115.0
Caffè Americano,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Caffè Latte,190.0,7.0,19.0,0.0,13.0,170.0
Caffè Mocha,290.0,8.0,42.0,4.0,13.0,140.0
Cappuccino,120.0,4.0,12.0,0.0,8.0,100.0
Caramel Macchiato,250.0,7.0,35.0,0.0,10.0,150.0
Cascara Coconutmilk Latte,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Cinnamon Dolce Latte,260.0,6.0,40.0,0.0,11.0,150.0
Coconutmilk Mocha Macchiato,250.0,9.0,32.0,0.0,12.0,180.0
Espresso,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Espresso Con Panna,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Espresso Macchiato,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Flat White,180.0,7.0,18.0,0.0,12.0,160.0
Iced Caffè Americano,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Iced Caffè Latte,130.0,4.5,13.0,0.0,8.0,115.0
Iced Caffè Mocha,230.0,6.0,36.0,4.0,9.0,90.0
Iced Caramel Macchiato,250.0,7.0,37.0,0.0,10.0,150.0
Iced Cascara Coconutmilk Latte,135.16304347826087,2.3369565217391304,24.73913043478261,0.4456521739130434,4.152173913043479,57.93478260869565
Iced Cinnamon Dolce Latte,200.0,4.0,34.0,0.0,7.0,95.0
Iced Coconutmilk Mocha Macchiato,260.0,9.0,34.0,0.0,11.0,180.0
